Aktivitätstyp,Datum,Distanz,Kalorien,Zeit,Ø Herzfrequenz,Maximale Herzfrequenz,Aerober TE,Ø Schrittfrequenz (Laufen),Max. Schrittfrequenz (Laufen),Ø Geschwindigkeit,Maximale Geschwindigkeit,Positiver Höhenunterschied,Negativer Höhenunterschied,Ø Schrittlänge
Trailrunning,2020-06-17 17:23:46,11.48,702,1:03:00,135,167,3.1,158,192,5:29,3:17,118,126,1.14
Trailrunning,2020-06-16 7:01:00,7.55,505,0:45:00,133,148,2.4,160,190,5:58,4:15,119,119,1.05
Trailrunning,2020-06-14 10:59:43,19.98,"1,544",2:10:57,143,157,3.9,158,218,6:33,3:39,803,781,0.96
Trailrunning,2020-06-12 10:22:10,5.7,384,0:33:36,131,160,2.6,160,210,5:53,3:04,96,88,1.05
Trailrunning,2020-06-11 7:13:17,7.87,484,0:45:00,131,147,2.3,160,176,5:43,4:37,94,75,1.09
Trailrunning,2020-06-10 12:16:02,9.77,612,0:50:00,139,163,3.2,163,186,5:07,3:41,30,24,1.2
Trailrunning,2020-06-09 19:36:45,8.43,516,0:48:59,131,151,2.4,157,184,5:49,4:07,137,143,1.09
Trailrunning,2020-06-07 10:55:24,17.15,"1,778",2:35:26,147,165,4.9,144,228,9:04,4:01,"1,168","1,176",0.77
Trailrunning,2020-06-05 7:03:55,8.13,544,0:42:29,143,172,3.2,162,190,5:14,3:31,102,98,1.17
Trailrunning,2020-06-04 9:37:03,7.88,531,0:45:00,138,152,2.8,160,212,5:42,4:03,149,148,1.09
Trailrunning,2020-06-03 7:08:45,9.08,594,0:51:00,138,164,3.2,161,204,5:37,2:55,118,121,1.09
Trailrunning,2020-06-02 7:04:24,7.96,499,0:45:00,133,148,2.5,162,197,5:39,4:31,87,82,0.93
Trailrunning,2020-05-31 10:24:48,17.74,"1,228",1:38:02,145,159,3.9,163,204,5:32,3:30,382,379,1.11
Trailrunning,2020-05-29 7:22:20,4.3,313,0:28:53,129,158,2.4,162,215,6:43,4:04,70,60,0.86
Trailrunning,2020-05-28 8:39:26,7.09,555,0:45:00,139,156,2.8,161,248,6:21,4:00,149,138,0.9
Trailrunning,2020-05-27 7:15:45,6.62,504,0:40:00,141,157,2.9,162,221,6:02,4:41,123,118,0.94
Trailrunning,2020-05-26 6:54:11,5.68,457,0:37:31,139,156,2.8,163,209,6:36,4:11,117,111,0.93
Trailrunning,2020-05-25 18:53:55,3.98,335,0:27:43,139,153,2.5,157,191,6:58,4:44,84,85,0.88
Trailrunning,2020-05-25 18:43:43,1.61,123,0:09:00,142,158,2.1,159,171,5:34,4:52,16,19,1
Krafttraining,2020-05-24 19:06:30,0,203,0:21:16,117,144,1.7,--,--,--,--,--,--,0
Trailrunning,2020-05-23 12:39:06,7.99,"1,108",1:29:10,147,163,4.3,142,210,11:10,4:40,814,793,0.63
Laufen,2020-05-21 10:23:19,4,248,0:33:06,107,133,1.5,134,192,8:17,5:40,8,7,0.87
Trailrunning,2020-05-20 9:50:29,0,--,0:00:15,65,67,0,--,--,--,--,--,--,0
Yoga,2020-05-19 20:20:09,0,103,0:20:55,92,110,0.3,--,--,--,--,--,--,0
Sonstige,2020-05-19 19:51:17,0,216,0:22:24,117,144,1.9,6,192,--,--,--,--,0
Trailrunning,2020-05-18 15:22:36,0,--,0:00:10,69,70,0,--,--,--,--,--,--,0
Trailrunning,2020-05-17 10:56:26,8,501,0:52:58,129,159,3,144,176,6:37,4:30,82,97,1.05
Trailrunning,2020-05-16 9:02:00,12.86,807,1:13:56,139,165,3.1,161,204,5:45,3:07,233,237,1.08
